age,annual_income,loan_amount,loan_term,credit_score,num_credit_lines,delinq_2yrs,dti_ratio,employment_years,home_ownership,loan_purpose,num_inquiries,default
59,14023,13256,36,531,11,0,0.35185129259573855,1.1412734917685068,RENT,medical,0,0
49,43821,29534,36,685,2,0,0.05,7.779453141907937,MORTGAGE,major_purchase,0,0
35,42474,10020,48,701,11,0,0.29304113160118184,3.4586183083159665,OWN,debt_consolidation,1,0
63,115623,34699,48,589,9,0,0.17527871632095962,2.31582880571224,RENT,home_improvement,2,0
28,59888,11941,24,568,13,1,0.1251230423148874,10.708285413516297,RENT,debt_consolidation,0,0
41,41004,8776,24,731,14,0,0.22967233411729093,5.972320441687311,RENT,major_purchase,3,0
59,46440,36323,12,570,10,0,0.1896186612395853,9.029432327098489,MORTGAGE,major_purchase,1,0
39,90583,6329,24,601,6,2,0.42042203269884537,0.0,MORTGAGE,debt_consolidation,1,0
43,43881,7480,12,720,3,0,0.5294790180024325,9.5155989098103,MORTGAGE,medical,2,0
31,32243,6526,12,652,7,0,0.2953359722583406,3.397020440918334,MORTGAGE,debt_consolidation,0,0
31,41546,5355,12,506,12,0,0.2605811331429746,0.0,MORTGAGE,debt_consolidation,0,0
44,86199,15099,36,789,9,0,0.2878692498263152,16.423697773935878,RENT,major_purchase,0,0
56,66019,8863,60,607,9,0,0.18377193380923063,10.005067632473136,RENT,debt_consolidation,0,0
60,50340,19749,60,617,1,2,0.15668871565704826,8.13638706339799,MORTGAGE,debt_consolidation,1,0
44,54990,3335,48,670,2,0,0.10316683206599941,13.247094248699328,RENT,debt_consolidation,2,0
23,35036,5442,12,700,8,0,0.15057185625227396,8.23784640694268,MORTGAGE,medical,0,0
42,43635,13922,36,806,11,3,0.5947986510668943,3.0069299492819694,MORTGAGE,debt_consolidation,2,1
22,32925,43292,24,517,1,3,0.24643684469548127,6.125161947588114,OWN,debt_consolidation,1,0
44,41074,18084,24,716,11,0,0.05,3.608168934039738,RENT,debt_consolidation,1,0
64,109941,8337,48,709,12,1,0.26194145922784895,4.498235535876452,OWN,debt_consolidation,1,0
50,25675,4057,48,639,11,0,0.11143781948587675,0.7114816707037939,MORTGAGE,major_purchase,3,0
58,32427,7956,12,712,14,1,0.35892274099957444,2.1498971209984026,MORTGAGE,debt_consolidation,1,0
22,23096,12913,12,724,3,2,0.34274695171444924,11.472927663343377,RENT,major_purchase,1,0
41,20281,2026,24,539,11,0,0.3583828456538082,8.66037719401624,MORTGAGE,home_improvement,0,0
53,43823,5060,24,789,7,0,0.3438910881882223,4.484934737342457,OWN,debt_consolidation,0,0
32,33841,7405,24,525,8,0,0.2940934543070376,1.859840677684324,RENT,debt_consolidation,1,0
42,141070,10873,24,559,5,0,0.13161558176900204,4.973015105960335,RENT,major_purchase,1,0
64,41369,12791,60,629,14,0,0.3388018892042864,0.0,OWN,home_improvement,0,0
